name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Iddrisu Baba,Mallorca,26,La Liga,MF,6,547,1.4,0.4,1.1,0,0.7,0.5,0,0,6.31
Angelo Stiller,Hoffenheim,21,Bundesliga,MF,1,235,1.1,0.3,0.3,0.1,0.2,0.1,0,0,6.31
Pavel Kaderábek,Hoffenheim,30,Bundesliga,DF,5,596,0.6,0.4,0.6,0.1,0.5,0.1,0.1,0,6.31
Pascal Stenzel,Stuttgart,26,Bundesliga,DF,2,224,1,0.4,0.1,0,0.3,0.2,0.1,0,6.31
Scott McKenna,Nottingham Forest,26,Premier League,DF,14,1260,0.8,0.7,0.5,0.4,4.7,0.2,0.9,0,6.31
Kevin Kampl,RBL,32,Bundesliga,MF,9,722,1.1,0.7,0.7,0,0.1,0.4,0.3,0,6.31
Rasmus Højlund,Atalanta,19,Serie A,FW,4,433,0.2,0,0.8,0,0,0.1,0,0,6.31
Luka Milivojevic,Crystal Palace,31,Premier League,MF,2,274,1,0.7,0.9,0,0.9,0,0.1,0,6.31
Borja Mayoral,Getafe,25,La Liga,FW,14,1116,0.3,0,0.7,0,0.1,0.1,0,0,6.31
Davie Selke,Hertha Berlin,27,Bundesliga,FW,3,276,0.2,0.1,0.5,0,0.4,0.1,0.1,0,6.31
Nélson Semedo,Wolves,29,Premier League,DF,8,679,2,0.4,0.8,0,1.4,0.3,0.3,0,6.31
Samuel Moutoussamy,Nantes,26,Ligue 1,MF,10,832,1.6,0.7,1,0,0.3,0.9,0.1,0,6.31
Théo Bongonda,Cadiz,27,La Liga,MF,5,447,0.6,0.1,0.2,0,0.2,0.4,0,0,6.31
Enzo Ebosse,Udinese,23,Serie A,DF,7,760,0.7,0.6,0.5,0,1.4,0.2,0.4,0,6.31
Papu Gómez,Sevilla,34,La Liga,MF,6,647,0.4,0.3,0.3,0.1,0.4,0.2,0.1,0,6.31
Amadou Haidara,RBL,24,Bundesliga,MF,4,465,0.5,0.4,0.6,0,0.5,0.5,0.2,0,6.31
Shandon Baptiste,Brentford,24,Premier League,MF,4,428,0.6,0.4,0.5,0,0.6,0.4,0.1,0,6.31
Bonke Innocent,Lorient,26,Ligue 1,MF,7,612,1,0.7,1.1,0,1.5,0.8,0.2,0,6.31
Agustín Álvarez Martínez,Sassuolo,21,Serie A,FW,0,163,0.2,0.2,0.4,0,0.1,0,0.1,0,6.31
Milan Djuric,Verona,32,Serie A,FW,2,277,0,0,0.5,0,0.4,0,0.1,0,6.3
